date,review,exact_date,translated_review
a month ago,"Great place to visit! You will feel very spiritual. This place is having all the information about lord Krishna.Place is very huge, tidy and peaceful.You can enjoy satvik breakfast and lunch.Free breakfast timings- 8 am to 10 amFree lunch timings- 12 30 pm to 2 pm",2024-04-18,"Great place to visit! You will feel very spiritual. This place is having all the information about lord Krishna.Place is very huge, tidy and peaceful.You can enjoy satvik breakfast and lunch.Free breakfast timings- 8 am to 10 amFree lunch timings- 12 30 pm to 2 pm"
a week ago,"Nestled amidst serene surroundings, the Hindu Krishna Temple stands as a beacon of spiritual solace, beckoning devotees from far and wide to bask in its divine aura. This comprehensive review aims to provide insight into the architectural grandeur, religious significance, cultural heritage, and the profound spiritual experience offered by this sacred sanctuary dedicated to Lord Krishna.Architectural Grandeur:The Krishna Temple's architecture is a harmonious blend of intricate craftsmanship and timeless elegance, reflecting the rich cultural heritage and spiritual traditions of Hinduism. Adorned with ornate carvings, majestic domes, and vibrant hues, the temple's façade exudes an aura of divine splendor, captivating the eye and inspiring the soul. As one steps through its sacred portals, they are transported into a realm of transcendental beauty, where every arch, pillar, and alcove tells a story of devotion and reverence.Religious Significance:Dedicated to Lord Krishna, the eighth avatar of Lord Vishnu, the Krishna Temple holds immense religious significance for devout Hindus. It serves as a sacred abode where devotees come to offer their prayers, seek blessings, and immerse themselves in the divine presence of the beloved deity. The main sanctum, adorned with exquisite idols of Lord Krishna and his divine consort Radha, serves as the focal point of worship, evoking a sense of reverence and awe in all who enter its hallowed halls.Cultural Heritage:The Krishna Temple stands as a testament to the enduring legacy of Hindu culture and tradition, serving as a living embodiment of the spiritual values and philosophical teachings espoused by Lord Krishna in the sacred texts of the Bhagavad Gita and the Mahabharata. Through its rituals, festivals, and religious ceremonies, the temple preserves and celebrates the rich tapestry of Hindu mythology, folklore, and customs, fostering a deep sense of cultural identity and communal belonging among its devotees.Spiritual Experience:Visiting the Krishna Temple is more than just a religious pilgrimage; it is a transformative spiritual journey that nourishes the soul and uplifts the spirit. The rhythmic chants of hymns, the fragrant aroma of incense, and the flickering glow of oil lamps create an atmosphere of divine grace and tranquility, inviting devotees to deepen their connection with the divine. Whether participating in the sacred rituals of aarti, offering floral garlands to the deity, or simply meditating in silent contemplation, every moment spent within the temple's sacred precincts is imbued with a profound sense of peace and inner harmony.Conclusion:In conclusion, the Hindu Krishna Temple stands as a testament to the enduring power of faith and devotion, offering solace, inspiration, and spiritual guidance to all who seek it. Through its architectural grandeur, religious significance, cultural heritage, and the profound spiritual experience it provides, the temple serves as a sanctuary for the soul, a sacred oasis where devotees can find refuge from the trials of life and commune with the divine presence of Lord Krishna.",2024-05-11,"Nestled amidst serene surroundings, the Hindu Krishna Temple stands as a beacon of spiritual solace, beckoning devotees from far and wide to bask in its divine aura. This comprehensive review aims to provide insight into the architectural grandeur, religious significance, cultural heritage, and the profound spiritual experience offered by this sacred sanctuary dedicated to Lord Krishna.Architectural Grandeur:The Krishna Temple's architecture is a harmonious blend of intricate craftsmanship and timeless elegance, reflecting the rich cultural heritage and spiritual traditions of Hinduism. Adorned with ornate carvings, majestic domes, and vibrant hues, the temple's façade exudes an aura of divine splendor, captivating the eye and inspiring the soul. As one steps through its sacred portals, they are transported into a realm of transcendental beauty, where every arch, pillar, and alcove tells a story of devotion and reverence.Religious Significance:Dedicated to Lord Krishna, the eighth avatar of Lord Vishnu, the Krishna Temple holds immense religious significance for devout Hindus. It serves as a sacred abode where devotees come to offer their prayers, seek blessings, and immerse themselves in the divine presence of the beloved deity. The main sanctum, adorned with exquisite idols of Lord Krishna and his divine consort Radha, serves as the focal point of worship, evoking a sense of reverence and awe in all who enter its hallowed halls.Cultural Heritage:The Krishna Temple stands as a testament to the enduring legacy of Hindu culture and tradition, serving as a living embodiment of the spiritual values and philosophical teachings espoused by Lord Krishna in the sacred texts of the Bhagavad Gita and the Mahabharata. Through its rituals, festivals, and religious ceremonies, the temple preserves and celebrates the rich tapestry of Hindu mythology, folklore, and customs, fostering a deep sense of cultural identity and communal belonging among its devotees.Spiritual Experience:Visiting the Krishna Temple is more than just a religious pilgrimage; it is a transformative spiritual journey that nourishes the soul and uplifts the spirit. The rhythmic chants of hymns, the fragrant aroma of incense, and the flickering glow of oil lamps create an atmosphere of divine grace and tranquility, inviting devotees to deepen their connection with the divine. Whether participating in the sacred rituals of aarti, offering floral garlands to the deity, or simply meditating in silent contemplation, every moment spent within the temple's sacred precincts is imbued with a profound sense of peace and inner harmony.Conclusion:In conclusion, the Hindu Krishna Temple stands as a testament to the enduring power of faith and devotion, offering solace, inspiration, and spiritual guidance to all who seek it. Through its architectural grandeur, religious significance, cultural heritage, and the profound spiritual experience it provides, the temple serves as a sanctuary for the soul, a sacred oasis where devotees can find refuge from the trials of life and commune with the divine presence of Lord Krishna."
a month ago,"offers a captivating journey through the life of Shree Krishna, making it a perfect destination for visitors of all ages. due to its popularity, visitors may experience waiting times for guides. Suggested to carry your water bottles",2024-04-18,"offers a captivating journey through the life of Shree Krishna, making it a perfect destination for visitors of all ages. due to its popularity, visitors may experience waiting times for guides. Suggested to carry your water bottles"
3 weeks ago,Good place to visit ..Well maintained. Good for relaxation. They have free guiders on each point who is giving free small small details about every place. Quite crowded on holiday but still must visit place . Quite far from palghar station as well .,2024-04-27,Good place to visit ..Well maintained. Good for relaxation. They have free guiders on each point who is giving free small small details about every place. Quite crowded on holiday but still must visit place . Quite far from palghar station as well .
a week ago,"Amazing place to visit with friends and family. A huge maybe 260 acres area full of greenery. Replica of actual vrindavan they have built there. Absolutely free of cost entry. Cafe,gift shops are aslo available in there. People can witness small glimpses of Radha Krishna's life in vrindawan by seeing sculptures in vrindawan forest.",2024-05-11,"Amazing place to visit with friends and family. A huge maybe 260 acres area full of greenery. Replica of actual vrindavan they have built there. Absolutely free of cost entry. Cafe,gift shops are aslo available in there. People can witness small glimpses of Radha Krishna's life in vrindawan by seeing sculptures in vrindawan forest."
a week ago,It is located in Wada. They have created replica of Govardhan villages.A great place to spend time with friends and family.Spritual place where you can find your peace of mind.,2024-05-11,It is located in Wada. They have created replica of Govardhan villages.A great place to spend time with friends and family.Spritual place where you can find your peace of mind.
a month ago,"Great place to visit!! It's a best combination hor the holiday relaxation plan and a spiritual experience ✨️They have amazing management,  tasty and hygienic food with proper cleaningAlso provide stay options .... beautiful place",2024-04-18,"Great place to visit!! It's a best combination hor the holiday relaxation plan and a spiritual experience ✨️They have amazing management,  tasty and hygienic food with proper cleaningAlso provide stay options .... beautiful place"
2 months ago,"Loved the tour and overall experience here. Very much calming. My personal suggestion would be to visit in a NOT SO HOT weather and carry water too. Winter season is best time to visit.🆓 NO ENTRY FEE 🆓You should definitely go and take the hourly tourIt's every hour, a group of 25-30 people.But you clearly get to hear and know a lot more than you would if you go around soloI definitely had a peaceful time here.The tour guide is one of the pandit sharing his amazing knowledge.For transportation it definitely is a little inconvenient. Reaching was easier for us. But coming back we faced a little bit of difficulty.➡️We went to Palghar Station➡️walked 15 mins to main Bus Depot➡️the bus took around 25-30 mins to reach Mustan Naka➡️Auto to GEV, they drop you just at the entrance.🔙On the way back we were not able to catch a bus and the next one was 2-3 hrs later. Did not get proper information about bus timing, nobody could help us.So, we went to Manor by auto and then Small Bus kinda but not bus 🚌 to Palghar Station.",2024-03-19,"Loved the tour and overall experience here. Very much calming. My personal suggestion would be to visit in a NOT SO HOT weather and carry water too. Winter season is best time to visit.🆓 NO ENTRY FEE 🆓You should definitely go and take the hourly tourIt's every hour, a group of 25-30 people.But you clearly get to hear and know a lot more than you would if you go around soloI definitely had a peaceful time here.The tour guide is one of the pandit sharing his amazing knowledge.For transportation it definitely is a little inconvenient. Reaching was easier for us. But coming back we faced a little bit of difficulty.➡️We went to Palghar Station➡️walked 15 mins to main Bus Depot➡️the bus took around 25-30 mins to reach Mustan Naka➡️Auto to GEV, they drop you just at the entrance.🔙On the way back we were not able to catch a bus and the next one was 2-3 hrs later. Did not get proper information about bus timing, nobody could help us.So, we went to Manor by auto and then Small Bus kinda but not bus 🚌 to Palghar Station."
3 months ago,"Avoid visiting on public holidays as it will be very crowded. It is a very huge place so kindly wear comfortable footwear if you want to explore the entire village. There is pre booking for senior citizens wherein they are taken in e-rickshaws to explore, no idea about how to book it. Maybe you can find it on their official website/phone number given if any.",2024-02-18,"Avoid visiting on public holidays as it will be very crowded. It is a very huge place so kindly wear comfortable footwear if you want to explore the entire village. There is pre booking for senior citizens wherein they are taken in e-rickshaws to explore, no idea about how to book it. Maybe you can find it on their official website/phone number given if any."
2 months ago,"Mini Vrindavan In Mumbai.ISKCON - Govardhan Ecovillage in Wada is the vision of Radhanath Swami Maharaj, and I am thankful to him as he gave us the opportunity to experience some taste of Vrindavan.This place is filled with spirituality, and you will get to experience a lot of things.Right from the entrance, you will witness the warmth and love of Shrimati Radharani and Shri Krishna.I have been visiting this place for over 5 years now and I can tell you, every time I visit this place with my family or alone, I always get to learn something new.I did my residential program of Bhagavad-Gita and Bhakti yoga in Govardhan Ecovillage. It was the most beautiful experience that will always stay with me.Whenever I get time, I will book 2 days or 4 days' stay and spend my time here chanting and attending Yamuna aarti nd Yagna and mangal aarti.Remember, this is a spiritual place, and they have a schedule to follow for you. I won't break the surprise, but I want you to go and experience it.In Iskcon - Women are called ""Mataji,"" and men are called ""Prabhuji,"" irrespective of their job.Food is simple and tasty, You can enjoy a meal at 2 places - Shrinathji cafe ( for visitors) and Govind Cafe ( located inside the stay area).All the food is without garlic and onion as tese both ingredients are considered as Tamasic food.I can keep on sharing more information, but I would like you to visit the place.Remember, everyone greets each other by saying Hare Krishna or Radhe Radhe or Hari Bol.",2024-03-19,"Mini Vrindavan In Mumbai.ISKCON - Govardhan Ecovillage in Wada is the vision of Radhanath Swami Maharaj, and I am thankful to him as he gave us the opportunity to experience some taste of Vrindavan.This place is filled with spirituality, and you will get to experience a lot of things.Right from the entrance, you will witness the warmth and love of Shrimati Radharani and Shri Krishna.I have been visiting this place for over 5 years now and I can tell you, every time I visit this place with my family or alone, I always get to learn something new.I did my residential program of Bhagavad-Gita and Bhakti yoga in Govardhan Ecovillage. It was the most beautiful experience that will always stay with me.Whenever I get time, I will book 2 days or 4 days' stay and spend my time here chanting and attending Yamuna aarti nd Yagna and mangal aarti.Remember, this is a spiritual place, and they have a schedule to follow for you. I won't break the surprise, but I want you to go and experience it.In Iskcon - Women are called ""Mataji,"" and men are called ""Prabhuji,"" irrespective of their job.Food is simple and tasty, You can enjoy a meal at 2 places - Shrinathji cafe ( for visitors) and Govind Cafe ( located inside the stay area).All the food is without garlic and onion as tese both ingredients are considered as Tamasic food.I can keep on sharing more information, but I would like you to visit the place.Remember, everyone greets each other by saying Hare Krishna or Radhe Radhe or Hari Bol."
